price,area,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building,price_sqft,city
9500000,1560,3,3,,Ready to Move,Resale,,,,Flat,6089.74359,Noida
16000000,2000,4,3,,Ready to Move,Resale,,Semi-Furnished,,Flat,8000.0,New Delhi
11000000,1100,2,2,,Ready to Move,Resale,,,,Individual House,10000.0,New Delhi
11000000,1200,3,3,1.0,Ready to Move,Resale,,Semi-Furnished,,Flat,9166.666667,Gurgaon
19500000,2415,4,4,3.0,Ready to Move,Resale,,,,Individual House,8074.534161,Gurgaon
2400000,675,2,2,1.0,Ready to Move,Resale,1.0,Unfurnished,0.0,Flat,3555.555556,New Delhi
7500000,1610,3,2,1.0,Ready to Move,Resale,,Unfurnished,,Flat,4658.385093,Ghaziabad
3000000,560,2,2,2.0,Ready to Move,Resale,,Furnished,,Individual House,5357.142857,New Delhi
2800000,850,2,2,3.0,Ready to Move,Resale,1.0,,3.0,Flat,3294.117647,Greater Noida
10900000,1983,3,3,5.0,Ready to Move,Resale,1.0,,2.0,Flat,5496.722138,Gurgaon
6000000,1100,2,2,,Ready to Move,Resale,1.0,Semi-Furnished,,Individual House,5454.545455,Gurgaon
67500000,6285,5,7,7.0,Ready to Move,Resale,4.0,,2.0,Flat,10739.8568,Gurgaon
7300000,1370,2,2,4.0,Ready to Move,Resale,,,,Flat,5328.467153,Noida
7800000,2000,3,2,3.0,Ready to Move,Resale,,,,Flat,3900.0,Faridabad
9500000,1000,3,2,1.0,Ready to Move,New Property,2.0,Semi-Furnished,1.0,Individual House,9500.0,New Delhi
34500000,4128,4,4,4.0,Ready to Move,Resale,3.0,,2.0,Flat,8357.55814,Gurgaon
5500000,1375,3,2,2.0,,Resale,1.0,Semi-Furnished,,Flat,4000.0,Greater Noida
16000000,2390,4,3,,Ready to Move,Resale,,,,Flat,6694.560669,Faridabad
2750000,850,2,2,2.0,,Resale,,Unfurnished,,Flat,3235.294118,Ghaziabad
18500000,2250,3,3,3.0,Ready to Move,Resale,1.0,,2.0,Individual House,8222.222222,Gurgaon
7000000,1538,4,3,,Ready to Move,Resale,,Furnished,,Flat,4551.36541,Faridabad
7160000,1700,4,3,,Ready to Move,Resale,,,,Flat,4211.764706,Greater Noida
3200000,720,3,2,,,Resale,,Unfurnished,,Flat,4444.444444,Gurgaon
2600000,885,2,2,1.0,Ready to Move,Resale,,,1.0,Flat,2937.853107,Ghaziabad
4000000,900,3,2,3.0,Ready to Move,Resale,,Furnished,,Flat,4444.444444,Ghaziabad
5500000,1008,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat,5456.349206,Ghaziabad
15000000,2000,4,3,3.0,Ready to Move,Resale,,,,Individual House,7500.0,Gurgaon
8000000,1400,3,3,2.0,Ready to Move,Resale,2.0,,1.0,Flat,5714.285714,Noida
9100000,1000,2,2,1.0,Ready to Move,Resale,1.0,,0.0,Flat,9100.0,New Delhi
5700000,1100,2,2,1.0,Ready to Move,Resale,1.0,,,Flat,5181.818182,Ghaziabad
4000000,900,2,2,,,Resale,,Semi-Furnished,,Flat,4444.444444,Greater Noida
6500000,1160,3,2,2.0,Ready to Move,Resale,,Unfurnished,,Flat,5603.448276,Noida
12800000,1300,3,2,2.0,Ready to Move,New Property,,Unfurnished,,Flat,9846.153846,New Delhi
7800000,900,2,2,1.0,Ready to Move,Resale,2.0,Furnished,,Flat,8666.666667,New Delhi
3800000,1000,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,3800.0,Faridabad
3600000,1088,2,2,1.0,Ready to Move,Resale,,,,Flat,3308.823529,Ghaziabad
2800000,1000,2,2,2.0,Ready to Move,New Property,1.0,,4.0,Individual House,2800.0,Greater Noida
6800000,1240,2,2,,Ready to Move,Resale,,,,Flat,5483.870968,Ghaziabad
4450000,1195,2,2,3.0,Ready to Move,Resale,,,,Flat,3723.849372,Noida
5100000,1045,2,2,3.0,Ready to Move,Resale,,,,Flat,4880.382775,Noida
4000000,1040,2,2,4.0,Ready to Move,Resale,,Semi-Furnished,,Flat,3846.153846,Ghaziabad
12500000,1600,2,2,3.0,Ready to Move,Resale,1.0,,,Flat,7812.5,Gurgaon
6500000,1200,3,3,2.0,Ready to Move,Resale,,Semi-Furnished,,Flat,5416.666667,New Delhi
5200000,1260,2,2,2.0,Ready to Move,Resale,2.0,Furnished,,Flat,4126.984127,Greater Noida
6500000,1490,3,3,,Ready to Move,Resale,,,,Individual House,4362.416107,Greater Noida
6500000,1510,2,2,2.0,Ready to Move,Resale,,Semi-Furnished,,Flat,4304.635762,Ghaziabad
12500000,900,2,2,2.0,Ready to Move,Resale,,Unfurnished,,Flat,13888.88889,New Delhi
2900000,990,2,2,3.0,Ready to Move,Resale,,,,Flat,2929.292929,Ghaziabad
8100000,1600,3,3,3.0,Ready to Move,Resale,2.0,,1.0,Flat,5062.5,Faridabad
4500000,1540,3,2,,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,2922.077922,Ghaziabad
4500000,1090,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,4128.440367,Greater Noida
14000000,1800,3,3,4.0,Ready to Move,Resale,,Semi-Furnished,,Individual House,7777.777778,Gurgaon
20500000,2287,3,4,4.0,Ready to Move,Resale,1.0,,,Flat,8963.707914,Noida
12200000,2150,3,3,3.0,Ready to Move,Resale,,,,Individual House,5674.418605,Gurgaon
6300000,1595,3,4,3.0,,New Property,,Unfurnished,,Flat,3949.84326,Greater Noida
4800000,1255,3,2,3.0,Ready to Move,Resale,,,,Flat,3824.701195,Noida
16500000,2100,3,3,4.0,Ready to Move,Resale,2.0,,2.0,Flat,7857.142857,Gurgaon
12000000,1600,4,3,3.0,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,7500.0,Gurgaon
10500000,2106,3,4,1.0,Ready to Move,Resale,,,,Flat,4985.754986,Greater Noida
42500000,4700,5,5,3.0,Ready to Move,Resale,6.0,Semi-Furnished,,Individual House,9042.553191,Faridabad
5500000,1146,2,2,2.0,Ready to Move,Resale,,,,Flat,4799.30192,Ghaziabad
5000000,970,2,2,,,Resale,1.0,,2.0,Flat,5154.639175,Ghaziabad
35000000,5199,5,5,3.0,Ready to Move,Resale,2.0,Semi-Furnished,,Flat,6732.063858,Gurgaon
2830000,950,2,2,,Ready to Move,Resale,,,,Individual House,2978.947368,Ghaziabad
13100000,1750,3,2,3.0,Ready to Move,Resale,,,,Flat,7485.714286,New Delhi
4000000,900,2,2,2.0,Ready to Move,Resale,,Furnished,,Flat,4444.444444,New Delhi
9100000,1839,3,3,4.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,4948.34149,Noida
5800000,1000,3,2,,Ready to Move,Resale,,Unfurnished,,Flat,5800.0,Ghaziabad
4850000,1425,3,2,,Ready to Move,Resale,163.0,,2.0,Flat,3403.508772,Ghaziabad
5200000,1600,3,3,4.0,Ready to Move,Resale,66.0,,0.0,Flat,3250.0,Greater Noida
30000000,4200,4,4,2.0,Ready to Move,Resale,2.0,,,Individual House,7142.857143,Gurgaon
4600000,1100,3,2,1.0,Ready to Move,Resale,,,,Individual House,4181.818182,Ghaziabad
10000000,1914,3,4,4.0,Ready to Move,Resale,,,,Individual House,5224.660397,Noida
3900000,900,2,2,2.0,Ready to Move,Resale,,,,Flat,4333.333333,Greater Noida
13500000,1728,3,3,4.0,Ready to Move,Resale,,Semi-Furnished,1.0,Flat,7812.5,Gurgaon
14000000,1570,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat,8917.197452,Gurgaon
6800000,900,3,2,2.0,Ready to Move,Resale,2.0,Furnished,1.0,Individual House,7555.555556,New Delhi
14500000,2630,4,4,2.0,Ready to Move,Resale,,,,Flat,5513.307985,Gurgaon
18000000,2200,3,2,4.0,Ready to Move,Resale,,Unfurnished,2.0,Individual House,8181.818182,New Delhi
8400000,1000,2,2,2.0,Ready to Move,Resale,,,,Flat,8400.0,Gurgaon
3200000,815,2,2,3.0,Ready to Move,Resale,,,,Individual House,3926.380368,Ghaziabad
4180000,1195,3,2,,Ready to Move,Resale,,Unfurnished,,Flat,3497.90795,Noida
8840000,1845,3,3,,Ready to Move,Resale,,,,Flat,4791.327913,Gurgaon
